Module,Cluster,Cluster_location,Function,position,Module_color
M14.18,A32,12,TBD,A32.12,#FFFFFF
M14.19,A33,3,Inflammation,A33.3,#B00D29
M14.20,A1,13,Gene transcription,A1.13,#E5C493
M14.21,A26,7,TBD,A26.7,#FFFFFF
M14.22,A32,13,TBD,A32.13,#FFFFFF
M14.23,A1,18,Gene transcription,A1.18,#E5C493
M14.24,A33,4,Inflammation,A33.4,#B00D29
M14.25,A2,25,TBD,A2.25,#FFFFFF
M14.26,A33,5,Inflammation,A33.5,#B00D29
M14.27,A25,1,Protein synthesis,A25.1,#8B63FF
M14.28,A35,11,Neutrophils,A35.11,#FF92D5
M14.29,A32,14,TBD,A32.14,#FFFFFF
M14.30,A24,2,Oxidative phosphorylation,A24.2,#B51F83
M14.31,A3,4,Cell cycle,A3.4,#99C68E
M14.32,A26,8,TBD,A26.8,#FFFFFF
M14.33,A30,4,Proteolysis,A30.4,#B497DB
M14.34,A2,7,Gene transcription,A2.7,#E5C493
M14.35,A2,26,TBD,A2.26,#FFFFFF
M14.36,A32,15,TBD,A32.15,#FFFFFF
M14.37,A6,25,TBD,A6.25,#FFFFFF
M14.38,A31,5,TBD,A31.5,#FFFFFF
M14.39,A34,3,Cell cycle,A34.3,#99C68E
M14.40,A6,17,Cellular respiration,A6.17,#CFE84D
M14.41,A24,8,TBD,A24.8,#FFFFFF
M14.42,A1,30,T cells,A1.30,#0077BA
M14.43,A3,10,TBD,A3.10,#FFFFFF
M14.44,A2,20,Protein synthesis,A2.20,#8B63FF
M14.45,A2,27,TBD,A2.27,#FFFFFF
M14.46,A3,11,TBD,A3.11,#FFFFFF
M14.47,A2,14,Protein synthesis,A2.14,#8B63FF
M14.48,A31,1,Inflammation,A31.1,#B00D29
M14.49,A1,14,Gene transcription,A1.14,#E5C493
M14.50,A33,6,Inflammation,A33.6,#B00D29
M14.51,A36,6,Oxidative stress,A36.6,#F94A8B
M14.52,A3,12,TBD,A3.12,#FFFFFF
M14.53,A37,5,Erythrocytes,A37.5,#EA7C1E
M14.54,A6,1,Cell cycle,A6.1,#99C68E
M14.55,A6,3,Gene transcription,A6.3,#E5C493
M14.56,A32,16,TBD,A32.16,#FFFFFF
M14.57,A24,5,Protein modification,A24.5,#FFABA8
M14.58,A1,23,Protein synthesis,A1.23,#8B63FF
M14.59,A34,5,TBD,A34.5,#FFFFFF
M14.60,A29,6,TBD,A29.6,#FFFFFF
M14.61,A2,13,Protein modification,A2.13,#FFABA8
M14.62,A32,17,TBD,A32.17,#FFFFFF
M14.63,A24,3,Oxidative phosphorylation,A24.3,#B51F83
M14.64,A1,8,Cell cycle,A1.8,#99C68E
M14.65,A35,13,Monocytes,A35.13,#004181
M14.66,A33,7,Inflammation,A33.7,#B00D29
M14.67,A32,3,Gene transcription,A32.3,#E5C493
M14.68,A38,4,Protein synthesis,A38.4,#8B63FF
M14.69,A1,9,Gene transcription,A1.9,#E5C493
M14.70,A26,9,TBD,A26.9,#FFFFFF
M14.71,A1,10,Gene transcription,A1.10,#E5C493
M14.72,A2,28,TBD,A2.28,#FFFFFF
M14.73,A32,18,TBD,A32.18,#FFFFFF
M14.74,A35,18,TBD,A35.18,#FFFFFF
M14.75,A1,24,Protein synthesis,A1.24,#8B63FF
M14.76,A33,10,Leukocyte activation,A33.10,#66CCFF
M14.77,A1,15,Gene transcription,A1.15,#E5C493
M14.78,A3,13,TBD,A3.13,#FFFFFF
M14.79,A2,15,Protein synthesis,A2.15,#8B63FF
M14.80,A1,25,Protein synthesis,A1.25,#8B63FF
M14.81,A31,3,Platelet,A31.3,#6BA3D7
M14.82,A33,1,Cytokines/chemokines,A33.1,#F4CA49
M14.83,A25,7,TBD,A25.7,#FFFFFF
M15.1,A6,19,TBD,A6.19,#FFFFFF
M15.2,A6,20,TBD,A6.20,#FFFFFF
M15.3,A2,8,Gene transcription,A2.8,#E5C493
M15.4,A1,2,B cells,A1.2,#FFEE07
M15.5,A5,3,Protein modification,A5.3,#FFABA8
M15.6,A7,4,Cell cycle,A7.4,#99C68E
M15.7,A26,1,Monocytes,A26.1,#004181
M15.8,A2,9,Gene transcription,A2.9,#E5C493
M15.9,A6,12,T cells,A6.12,#0077BA
M15.10,A6,4,Gene transcription,A6.4,#E5C493
M15.11,A6,21,TBD,A6.21,#FFFFFF
M15.12,A33,13,TBD,A33.13,#FFFFFF
M15.13,A33,14,TBD,A33.14,#FFFFFF
M15.14,A33,15,TBD,A33.15,#FFFFFF
M15.15,A6,22,TBD,A6.22,#FFFFFF
M15.16,A3,3,Antigen presentation,A3.3,#4FF300
M15.17,A22,1,TBD,A22.1,#FFFFFF
M15.18,A32,19,TBD,A32.19,#FFFFFF
M15.19,A6,8,Gene transcription,A6.8,#E5C493
M15.20,A32,20,TBD,A32.20,#FFFFFF
M15.21,A2,3,Gene transcription,A2.3,#E5C493
M15.22,A6,23,TBD,A6.23,#FFFFFF
M15.23,A2,21,Cell death,A2.21,#000000
M15.24,A33,16,TBD,A33.16,#FFFFFF
M15.25,A4,9,TBD,A4.9,#FFFFFF
M15.26,A35,12,Neutrophils,A35.12,#FF92D5
M15.27,A6,2,Cell cycle,A6.2,#99C68E
M15.28,A24,4,Oxidative phosphorylation,A24.4,#B51F83
M15.29,A1,31,Cell death,A1.31,#000000
M15.30,A32,21,TBD,A32.21,#FFFFFF
M15.31,A2,10,Protein modification,A2.10,#FFABA8
M15.32,A29,7,TBD,A29.7,#FFFFFF
M15.33,A1,27,T cells,A1.27,#0077BA
M15.34,A6,13,T cells,A6.13,#0077BA
M15.35,A33,11,Neutrophils,A33.11,#FF92D5
M15.36,A26,3,Protein modification,A26.3,#FFABA8
M15.37,A35,4,Inflammation,A35.4,#B00D29
M15.38,A1,29,T cells,A1.29,#0077BA
M15.39,A8,4,TBD,A8.4,#FFFFFF
M15.40,A6,5,Gene transcription,A6.5,#E5C493
M15.41,A2,29,TBD,A2.29,#FFFFFF
M15.42,A6,6,Gene transcription,A6.6,#E5C493
M15.43,A35,19,TBD,A35.19,#FFFFFF
M15.44,A3,1,Protein modification,A3.1,#FFABA8
M15.45,A6,18,Platelet,A6.18,#6BA3D7
M15.46,A2,30,TBD,A2.30,#FFFFFF
